ME_MEAN,TE_MEAN,month,sub-daily
19154.356,286010.62,8,21
18705.997,285299.82,8,22
18288.515,284634.66,8,23
15323.951,281765.02,9,daily
14275.753,279869.1,9,0
13984.779,279464.25,9,1
13760.86,279143.85,9,2
13599.279,278920.51,9,3
13447.072,278715.01,9,4
13331.199,278531.95,9,5
13359.886,278528.36,9,6
13637.983,278790.35,9,7
14255.296,279445.1,9,8
15248.364,280715.92,9,9
16154.296,282374.34,9,10
16553.55,283884.77,9,11
16860.364,285182.18,9,12
16719.086,286111.47,9,13
16831.027,286289.88,9,14
16969.664,286008.43,9,15
17196.833,285235.63,9,16
17150.405,284310.77,9,17
16657.943,283320.08,9,18
16129.311,282475.74,9,19
15633.194,281809.49,9,20
15223.805,281245.37,9,21
14825.493,280655.38,9,22
14543.481,280237.88,9,23
14819.708,279541.12,10,daily
14107.538,278823.49,10,0
13966.245,278677.13,10,1
13812.702,278502.28,10,2
13667.353,278345.39,10,3
13564.111,278233.23,10,4
13480.089,278140.25,10,5
13404.02,278059.51,10,6
13441.281,278102.9,10,7
13673.561,278341.7,10,8
14164.85,278840.75,10,9
14880.857,279586.87,10,10
15604.366,280409.39,10,11
16091.485,281011.67,10,12
16434.852,281410.96,10,13
16651.169,281574.73,10,14
16685.265,281464.95,10,15
16530.723,281154.21,10,16
16093.036,280705.28,10,17
15674.59,280322.94,10,18
15313.672,279990.15,10,19
14991.357,279707.17,10,20
14709.188,279434.22,10,21
14454.903,279170.5,10,22
14275.767,278977.15,10,23
12595.74,277157.3,11,daily
12017.521,276572.11,11,0
11915.005,276453.24,11,1
11825.188,276355.97,11,2
11744.966,276268.03,11,3
11684.966,276201.71,11,4
11642.826,276151.66,11,5
11690.716,276203.95,11,6
11708.496,276210.65,11,7
11813.002,276325.53,11,8
12055.307,276591.25,11,9
12461.812,277022.49,11,10
12984.94,277552.24,11,11
13556.087,278124.79,11,12
13953.083,278521.21,11,13
14167.104,278726.47,11,14
14159.08,278722.07,11,15
13885.716,278479.04,11,16
13533.866,278155.42,11,17
13228.393,277858.99,11,18
12931.786,277557.33,11,19
12683.725,277297.7,11,20
12452.139,277051.05,11,21
12179.83,276775.79,11,22
12022.196,276596.64,11,23
9876.3518,274073.05,12,daily
9776.5671,273944.17,12,0
9692.9759,273830.53,12,1
9628.9882,273742.51,12,2
9557.0426,273643.18,12,3
9488.5326,273541.26,12,4
9429.8795,273459.19,12,5
9359.7723,273356.99,12,6
9297.8901,273263.87,12,7
9325.1573,273300.96,12,8
9463.9593,273501.36,12,9
9687.3209,273811.01,12,10
10003.595,274254.84,12,11
10296.998,274653.52,12,12
10517.207,274946.16,12,13
10667.706,275135.92,12,14
10642.392,275108.41,12,15
10468.289,274889.87,12,16
10280.47,274640.4,12,17
10148.519,274461.15,12,18
10035.037,274307.69,12,19
9938.4295,274161.32,12,20
9855.1145,274041.61,12,21
9764.8418,273918.56,12,22
9705.7611,273838.75,12,23
