ME_MEAN,TE_MEAN,month,sub-daily
11119.082,275665.11,1,daily
10535.077,274786.34,1,0
10458.778,274695.53,1,1
10388.33,274601.81,1,2
10305.845,274503.37,1,3
10251.227,274440.89,1,4
10194.274,274358.33,1,5
10148.474,274285.9,1,6
10093.116,274209.39,1,7
10131.059,274260.67,1,8
10368.833,274586.23,1,9
11015.479,275503.99,1,10
11845.59,276746.08,1,11
12351.959,277615.55,1,12
12674.231,278114.66,1,13
12880.244,278233.9,1,14
12805.707,278062.27,1,15
12407.144,277405.76,1,16
11873.742,276727.83,1,17
11507.047,276129.09,1,18
11202.759,275717.47,1,19
11012.635,275478.04,1,20
10922.02,275315.48,1,21
10803.813,275166.21,1,22
10680.581,275017.77,1,23
11227.762,276321.48,2,daily
10777.205,275324.26,2,0
10675.517,275196.38,2,1
10575.998,275017,2,2
10497.382,274883.65,2,3
10457.236,274799.1,2,4
10394.728,274735.42,2,5
10262.986,274569.49,2,6
10154.897,274442.49,2,7
10223.541,274596.19,2,8
10638.426,275370.72,2,9
11163.442,276547.19,2,10
11602.403,277690.34,2,11
11996.493,278698.33,2,12
12315.99,279233.1,2,13
12560.028,279364.99,2,14
12664.714,279199.61,2,15
12597.702,278510.37,2,16
12230.638,277573.68,2,17
11849.425,276848.49,2,18
11532.636,276385.67,2,19
11327.435,276053.13,2,20
11148.618,275772.95,2,21
10948.626,275489.88,2,22
10870.223,275413.11,2,23
12321.978,278095.35,3,daily
11392.799,276147.41,3,0
11248.288,275978.84,3,1
11118.734,275823.19,3,2
11023.49,275697.48,3,3
10965.382,275605.56,3,4
10930.526,275575.94,3,5
10908.366,275517.86,3,6
11060.196,275725.59,3,7
11597.158,276514.82,3,8
12462.41,277963.81,3,9
13093.86,279479.36,3,10
13362.161,280578.51,3,11
13378.839,281450.53,3,12
13335.897,282060.31,3,13
13563.163,281965.26,3,14
13727.766,281777.99,3,15
14098.372,281252.57,3,16
13951.689,280157.42,3,17
13512.605,278990.02,3,18
12942.329,278202.72,3,19
12488.255,277595.29,3,20
12121.02,277091.77,3,21
11824.859,276703.89,3,22
11619.3,276432.27,3,23
13548.288,280890.67,4,daily
13039.884,278353.23,4,0
12813.346,278001.02,4,1
12620.78,277734.04,4,2
12464.253,277536.05,4,3
12357.616,277398.36,4,4
12217.242,277320.24,4,5
12257.198,277516.93,4,6
12830.998,278468.05,4,7
